danmaku_id,content,progress,ctime,user_hash
1721049949111908352,泪目,2186.656,1732256341,3db8d0b9
1721623386595280896,蓄谋已久,2234.063,1732324700,fc0e4ae2
1722334686036510720,有牛阿,2176.757,1732409494,53b38ce4
1722632400653162752,我就是一封写给你的情书,2188.805,1732444984,1ed1f107
1722632619109321472,我就是一封写给你的情书,2193.834,1732445010,1ed1f107
1722633146065003264,我只是一封写给你的情书,2193.632,1732445073,1ed1f107
1722633349639485440,我只是一封写给你的情书,2191.419,1732445097,1ed1f107
1722819490745479424,把GTA变成了模拟人生,2175.199,1732467287,41195536
1724908362980344320,很不错,2315.422,1732716300,278c851
1724908513463518720,b站有原片,2326.387,1732716318,278c851
1727499633359976960,升华,2216.579,1733025203,4fe6e94a
1727638996550551040,牛,2202.451,1733041817,700e4950
1729970450341785600,有牛，有牛啊,2188.179,1733319748,e47ff2f8
1732608277579748352,23+,2337.08,1733634201,1edc5243
1733248669392237568,Buddy guy dude,2281.62,1733710542,d6792648
1734678720696431360,止戈为武,2308.387,1733881017,37503250
1734976560144398336,哇果然这就是米粒的专属NPC,2163.713,1733916523,7fc7d928
1739264529688335616,《黑客帝国》里矩阵第一个创建的世界就是这样,2174.086,1734427688,6b4755c7
1741258819142955008,最好看的一集,2322.92,1734665426,c8ec2b46
1741264574290192896,做自己！,2291.555,1734666112,c8ec2b46
1764754735363420928,别在马路中间接吻,2262.329,1737466358,8ef1e0b9
1766217999784297216,大佬多余了哈哈哈哈哈,2294.931,1737640792,56b6615a
1773409297167318016,她喜欢的东西，他设定的盖就喜欢,2174.201,1738498062,8bd7d330
1794847880063268352,但是现实人物和虚拟人物的感情就是能分开的,2221.393,1741053740,5ef95342
1827287188606989056,guy budy dude,2275.4,1744920807,9e5e1b42
1850436539453056768,太浪漫了，我的妈呀，520看这个,2214.122,1747680425,52e8d87d
1869828715933166592,如果被撞飞就是《惊声尖笑》了,2286.57,1749992152,cd82900f
1879604751268873728,？？？？？？？？？？？？？？？哈哈哈,2209.767,1751157547,1b2b7504
1880031140002917632,666,2311.91,1751208376,a6c9a4ed
1894983310162597632,free life！！！！！！,2301.813,1752990814,d2fee401
1903868633890432256,神助攻啊！,2195.52,1754050027,a20b82ee
1926203735391566592,大佬:6,2301.392,1756712578,b3eab7b8
1929750253355982336,吓我一跳,2301.417,1757135356,20cfff35
1930776305986145792,结局并不突兀，键盘和女主的关系其实有很多暗示，而且这个结局把一个很梦幻的东西落到了实处，很棒,2243.382,1757257671,68549c6e
1935821569557841408,这个npc是死侍，本来就是不死之身,2169.023,1757859113,cc92fea6
2017646948593098752,没有银行，大家想做什么都行,2295.749,1767613459,cac8ff1
2022135714552583168,Guy buddy 和dude，哈哈,2274.485,1768148561,dfa188e8
2032067325599187456,.,2168.503,1769332502,e178b471
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1696342549385732864,盖伊，guy，npc,68.435,1729310990,7c212af3
1696342935320770304,GTA行为,61.992,1729311036,b71f7b6b
1696343191625713664,Guy和他的buddy哈哈哈,102.419,1729311066,7c212af3
1696346319083486464,我也想今年找到另一半,117.602,1729311439,4f23728f
1696354212377596928,感觉这里的“That's new one.”是双关……,170.05,1729312380,88dbab76
1696385619016139008,《一个伙计和他的好哥们儿》，无关紧要程度拉满了,112.961,1729316124,976819dc
1696386374938828544,背后天蝎号路过,183.778,1729316214,976819dc
1696527827320491008,哈哈哈哈哈这小女孩游戏里是个硬汉形象,281.342,1729333076,d19b5886
1696569194994837504,《拒绝打扰》,206.145,1729338008,41c46819
1696637419853609728,毕竟玩家以为是什么剧情肯定懵啊,277.995,1729346141,4443f7c5
1696649595390006016,她的意思是guy说了句新台词,175.647,1729347592,b8cb8a68
1696662791164957184,下蹲嘲讽！哈哈哈，全球通用啊,36.457,1729349165,2daf986d
1696754605067118336,我也想今年找到另一半,127.677,1729360111,a8345f93
1696922477487751936,太平洋标准银行差事,128.465,1729380122,a629cbcc
1696961450926661120,黑暗骑士,127.124,1729384768,af9c884e
1697073613268245504,帆帆帆帆 ff,201.289,1729398139,518e050b
1697226863765829888,GTA,50.659,1729416408,7c54deaf
1697233165439074560,language,11.138,1729417159,41547baf
1697243004840485376,很明显原型主体是gtaol，挺像的,40.086,1729418332,da3be2ba
1697243315705624576,gtaol公开战局现状belike,53.802,1729418369,da3be2ba
1697294010622158848,这电影也可以叫“当NPC变成玩家后”（狗头）,347.275,1729424413,2f5d1676
1697294382808002560,是玩家早开枪了，没人会在意一个不是重要角色的npc,291.614,1729424457,aa0490e4
1697295886180422656,开局就是我们的牌皇（钱老板）这片明星真多,56.042,1729424636,562ee185
1697345767167297280,《光环》天蝎坦克,181.812,1729430583,8e8a9411
1697356822950236160,杀死伊芙的小变态呀,156.802,1729431900,d0137e8e
1697454542759163136,就是死侍,88.429,1729443550,f996c8b
1697876862371987456,系统bug,210.298,1729493894,6c8ffc88
1697877754525247488,npc怎么会对玩家动心？系统崩了,162.471,1729494000,7d4314b2
1697883602886627072,我记得了，主角好像是npc觉醒了意识,64.679,1729494698,4ce81b29
1698168908580134912,托尼：注意用词,10.647,1729528709,25b1e195
1698353587148620800,飓风2,201.351,1729550724,a4821db7
1698435106542839808,你不会真的以为这个是后期配音吧？,4.978,1729560442,d0d25b41
1698546541356777728,guy,74.661,1729573726,57f29424
1698601648932583424,确认不是太平洋银行,270.008,1729580295,ead31736
1698610221167127808,这不就是GTA吗？,61.237,1729581317,13619cac
1698651422092143872,太平洋？,122.953,1729586229,b5744acd
1698775378346703360,感觉确实是双关,179.016,1729601005,818fb64b
1698793539170832384,楚门,101.133,1729603170,ccf15c0d
1698795225390674432,觉区零,164.592,1729603371,9c4b4e7
1698795415191296768,新台词，不是新歌,172.342,1729603394,9c4b4e7
1698928801725148160,这女的是不是出现在闪电侠那里的咖啡店,81.148,1729619295,3d83180c
1699193773374461952,然后咖啡店炸了,224.03,1729650882,8d4f546b
1699243752004533248,这不是死侍？,70.493,1729656840,d8bd772b
1699378803526231040,有版权可太爽了,21.726,1729672939,587e9e11
1699381457564232960,我玩滚5.杀鸡的时候,338.145,1729673256,587e9e11
1699399378239927296,西部世界,137.199,1729675392,48992b9f
1699464880543424512,language,8.649,1729683201,b02b31a2
1699466030050560256,这不就是西部世界的游戏版,255.484,1729683338,4b57df5b
1699478672832160000,太平洋？,122.26,1729684845,4b0ef4cb
1699502070161924352,死侍3那个报亭彩蛋就是指这里，有医疗加血包,346.324,1729687634,770f51df
1699532567474112512,gta5 AI版,78.17,1729691269,e4b90ff0
1699639776241574400,gta5,67.757,1729704050,91ba4bad
1699640484282534144,fantasy可不是新歌,178.426,1729704134,b4dbdd05
1699968162855931392,AI因爱觉醒了啊,261.25,1729743196,98ad36b7
1700205958175608576,steam上没有啊,46.219,1729771544,408a45e5
1700256107068615424,小女孩玩家：我记得我买的是基础版呀  怎么有额外剧情,287.27,1729777522,95a673a8
1700257183176422656,这里guy没说固定台词给人吓了一跳哈哈哈,168.078,1729777650,88acc83b
1700588224122147840,GTA,271.999,1729817114,ff480428
1700617598268270336,gta,42.129,1729820615,197d41a1
1700720954391387136,NPC下线,134.884,1729832936,22ff2f45
1700849257236290560,AI开始渗透,217.769,1729848231,7d62c45f
1700906132467883776,上载新生,108.383,1729855011,c7d92aee
1700910772005207040,NPB,290.376,1729855564,5f0f3b
1700911057402596352,w我来玩,358.399,1729855598,5f0f3b
1700923537093512192,丝滑小连招,130.15,1729857086,19299f84
1700948687422874112,落地成盒,356.692,1729860084,2f9f3fb5
1700964784029219584,小尖尖,84.073,1729862003,75468967
1700966026902072576,是不是穿模了哈哈,148.552,1729862151,3c7ac1a8
1700967622683739392,哈哈哈哈哈哈哈,321.978,1729862341,3c7ac1a8
1700977672924848640,中杯是我们这里的小杯,80.71,1729863539,7a400fc9
1700983565175453696,卧槽！已经是21年的了,22.621,1729864242,7649a4eb
1700984922099023872,这家伙只有1级啊！！难怪被NPC   反杀了~~,328.569,1729864404,5a909da8
1700988470916497152,NPC:死待!!!,84.51,1729864827,3a98be52
1700996350991072256,hhh,248.356,1729865766,906c099
1701005273348700672,我在央视六公主看完这部电影,22.284,1729866830,af3f09e5
1701021359829699840,6.,14.471,1729868747,ec5e00ea
1701024453867221248,GTA OL,50.661,1729869116,ba057af4
1701025256304576000,其它程序反应该不过来了,215.131,1729869212,6c0393bb
1701061853511404544,《尖笑》那个团队拍的？,8.295,1729873575,54d053dc
1701063701421131520,AI觉醒自主意识了,211.394,1729873795,54d053dc
1701064403220344576,这里用到昨天这个词，好友也觉醒了？,262.503,1729873878,54d053dc
1701088841903088896,我记得上一次优秀的还是《头号玩家》,33.659,1729876792,7d0303a3
1701094757441201920,确实挺好看的  就是结局比较构思强行大团圆   其他都算佳作水平,22.93,1729877497,185c7525
1701186066231320832,出BUG NPC做主角,57.59,1729888382,edc7c9d5
1701367524975217408,女玩家也懵了，NOC台词更新了?,168.93,1729910013,412bdde3
1701450268174857216,看过这个电影,135.838,1729919877,39317a43
1701453312501132288,AI觉醒,176.727,1729920240,1f99b3e
1701453819341135872,老黄：我的卡算力这么高了？,237.1,1729920301,1f99b3e
1701467538673774848,玩家：隐藏剧情？特殊NPC？,277.315,1729921936,a116977d
1701489795673024512,人工智能啊,181.938,1729924589,24e3ea2b
1701491470039401984,出门的世界 游戏版,135.103,1729924789,32923399
1701527791159262976,熟练玩家,162.741,1729929119,5c35463c
1701644796957722624,都说了再找证据，什么玩不腻,264.985,1729943067,275a53b5
1701698734674648576,玛丽亚凯莉的歌,150.129,1729949497,114a7ce0
1701700080492570624,that a new word,172.439,1729949657,114a7ce0
1701701478017853440,丸辣，npc能氪金了,329.015,1729949824,114a7ce0
1701715496062135552,开始你的炸弹秀,226.039,1729951495,5df957e2
1701761993830994944,或许我们也是NPC,208.523,1729957038,f57ff811
1701777189525057024,太平洋银行差事,106.214,1729958849,c5ae783
1701792740277138432,落地成盒,356.747,1729960703,2cd90228
1701875049121899776,像乐高的那个电影,121.165,1729970515,349a5108
1701898683915985920,6,236.579,1729973332,dd30485c
1701929961486718976,一个叫guy一个叫buddy 2333，小明小华,103.742,1729977061,387a47e9
1702122109792242688,双关语  另一句意思是“新台词？”,172.47,1729999967,b6072e58
1702141203690264320,出bug了,230.207,1730002243,acef1d43
1702199345166666496,装了新MOD了,178.654,1730009174,c121e0c0
1702211621777040384,老滚搭讪MOD,185.002,1730010638,4c7dd312
1702239149782428416,美丽城,50.305,1730013919,a196bc2b
1702240225705070848,笑死，不应该出现R星专属BGM么,335.8,1730014047,ba3946b9
1702241576430768384,连上互联网了,339.557,1730014208,a196bc2b
1702331369785300992,我也想,118.962,1730024913,e382fbb8
1702331431819147520,我也想,118.962,1730024920,e382fbb8
1702341078146994944,bug,230.231,1730026070,82e4149d
1702344333414248704,主角是小贱贱的演员,29.198,1730026458,55579b49
1702393514598254336,桌子上的黑暗之魂,280.281,1730032321,dad23b5c
1702423684453461504,意思是每个npc都是隐藏的杀毒程序，一旦有npc出bug了被发现就会一拥而上“清理”掉,245.432,1730035917,ddbb3e16
1702440451552052992,给莱斯特打电话消星呗,67.786,1730037916,860898a9
1702594844134695680,这是原生,16.968,1730056321,9bb2af3
1702805237905921024,这NPC也是玩家,350.051,1730081402,bc84c3ab
1702926692181452800,GTA5,93.784,1730095881,e94ed5b4
1702981849133416192,版权玩家,7.088,1730102456,64f65c5
1703004943500133632,西部世界、,95.165,1730105209,1da6b95a
1703106979297980672,太爽了！,328.885,1730117373,9a977429
1703140470387881984,不是程序出问题了，可以视为这是个彩蛋，遇见那个人时触发,222.086,1730121365,4ed2581f
1703227100599647744,npc提权了,335.28,1730131692,22ba0d5
1703597961176612352,于老爷子,134.271,1730175902,dae252f1
1703771693963536128,cloud2,197.929,1730196613,dcf281dc
1703806771875430656,q,67.325,1730200794,5116f9b6
1703940286302518272,太平洋标准银行差事,119.947,1730216710,e155f2a8
1704546670152382976,杀死伊芙的小变态,156.651,1730288997,c427dc4b
1704594661387241728,刚开始以为是太平洋标准银行，结果原来是全幅银行呀,343.588,1730294718,6225fe1f
1704627880769892608,杀手。。,196.603,1730298678,8dc9f48e
1705280097852094720,我在电影院看的,36.719,1730376428,9a96b44b
1706127581109782528,——————玩家接口已接入——————,346.774,1730477456,77a09334
1706198621621884672,结局不拉啊，彩蛋很浪漫的,63.406,1730485925,7a4dc698
1706718002772768512,If I cannot to see you,108.107,1730547840,c55aeae3
1706797849284613632,游戏是GTAOL厂商确实科乐美,44.861,1730557359,63030ee0
1706865375783721728,guy,81.872,1730565408,3ff4d365
1707203623232129536,罗老师开启教学模式,215.059,1730605731,5c11dc19
1707378485100297216,“waste”这里不是浪费的意思 洛圣都的朋友都知道，这几个字出来就说明你挂了,282.889,1730626576,ba9dc037
1707475484059403008,怎么有种老滚白漫城的感觉,148.933,1730638139,a98beb22
1707581029499474176,其实挺恐怖的 AI生成了智慧,202.033,1730650721,18125350
1707630145974353408,小贱贱演的很棒 当年电影院看的,28.838,1730656576,5c684e6f
1707967203313264384,阿蛇，外面打起来了,226.293,1730696756,8f6d5161
1708102632692483584,死侍游戏版,340.029,1730712901,44204aa0
1708102952474662912,菜鸟这么富的吗,357.437,1730712939,44204aa0
1708163058662402560,哈哈哈哈哈,282.449,1730720104,2260612
1708213697635748608,凯特琳。snow？,203.785,1730726141,b766d53
1708671629993222144,友情提示 这不是虚拟现实游戏，键盘操作的,189.566,1730780731,b5da0e9f
1708679918911012352,小丑抢银行的场景,129.254,1730781719,4e7d4b9c
1708743730179629312,这里给劫匪配音的是巨石强森,274.427,1730789326,1dc6de3e
1708858342816505344,当时电影院看的，挺有意思的,6.477,1730802988,e06544ac
1709587554292038144,逆天比喻,87.405,1730889917,f0cdb9f5
1710168850215616512,等等这个劫匪是玩家  那么玩家反而像npc一样每天定时来抢银行？,295.911,1730959213,1c359750
1710254266335770880,？,22.354,1730969396,696bfb4d
1710340403960014848,这不就跟每日任务一样吗，玩家每天都会做任务,309.462,1730979664,d1e2c423
1710386642252545024,玩家做任务,309.519,1730985176,eeea2fa
1710390575242516736,很新颖的角度啊,74.73,1730985645,3bf45748
1711244950915716096,连NPC都有大房子，不都是刷新出来的吗,75.134,1731087494,14d84617
1711827761292903680,gay5+1,67.094,1731156971,7ecdf02d
1711890102180981760,这个是真的适合3D,26.265,1731164402,5069335f
1711892598589273600,我也一见钟情,187.143,1731164700,37d8bf93
1711927142180753664,每天都有不同的人抢银行都,307.032,1731168818,7f511663
1712063197768552448,GTA5,50.203,1731185037,39510bb4
1712389661294944256,当初电影院看的 ,14.653,1731223954,e1df0905
1712556210152611072,有个游戏玩法叫“日常任务”，跟上班一样每天都要做,302.557,1731243809,c12ad349
1712653536845819648,6,319.966,1731255411,c3a7e906
1713105688865706240,雪佛兰ZL1,304.689,1731309312,f7cf1575
1713259901327440384,太平洋银行员工,89.275,1731327695,4533510d
1713299963323088640,steam？？？？,197.977,1731332471,86ea2b2b
1713828863513078528,大概是这里有每日任务吧,301.024,1731395521,79da6271
1714447383196656640,23333333333,269.472,1731469254,9bb45c2c
