danmaku_id,content,progress,ctime,user_hash
1971803745243779840,这课程视频质量高啊,175.584,1762148523,5316d202
1971804937172604160,这课程视频质量高啊,175.584,1762148665,5316d202
1971805104214940672,这课程视频质量高啊,175.584,1762148685,5316d202
1993578744648563712,知识盲区,37.5,1764744305,6c0ec0e6
1993578940623130624,知识盲区,176.248,1764744329,5316d202
1993579191501221632,知识盲区,176.248,1764744359,5316d202
1993581619583243008,不错 讲得很好,60.895,1764744648,da86a374
1993582482469082368,发条弹幕再看,163.71,1764744751,da86a374
1993582741190835200,发条弹幕再看,192.406,1764744782,da86a374
1993582920262526976,发条弹幕再看,199.763,1764744803,6c0ec0e6
1993583080115819776,发条弹幕再看,218.814,1764744822,6c0ec0e6
1993583207614211840,发条弹幕再看,247.926,1764744837,da86a374
1993583456361955072,你这课程保熟吗？,263.5,1764744867,6c0ec0e6
1993583762319073792,你这课程保熟吗？,314.173,1764744903,da86a374
1993584161105000704,最近正好需要这样的课程 收藏了！,318.326,1764744951,da86a374
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1895641564962289408,一键三连了，评论区拿资料和数据集哦！一键三连了，评论区拿资料和数据集哦！,489.449,1753069284,6c0ec0e6
1895642571192657408,一键三连了，拿资料和数据集哦！,609.401,1753069404,6c0ec0e6
1895642618177224960,一键三连了，拿资料和数据集哦！,614.963,1753069409,6c0ec0e6
1993585196217794560,最近正好需要这样的课程 收藏了！,470.914,1764745074,6c0ec0e6
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1896360318218127616,数据集评论区领到了！,738.06,1753154966,6c0ec0e6
1896360554181314048,数据集评论区领到了！,766.157,1753154994,6c0ec0e6
1896360625861839616,数据集评论区领到了！,774.707,1753155002,6c0ec0e6
1896360678382987520,数据集评论区领到了！,780.996,1753155009,6c0ec0e6
1896360761044330240,数据集评论区领到了！,790.82,1753155019,6c0ec0e6
1896360811518764800,数据集评论区领到了！,796.837,1753155025,6c0ec0e6
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1897769488188404992,都使用了AI技术，一三机器学习，二符号学习?,1116.45,1753322952,735017c5
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1804460478144667648,打卡学习,59.64,1742199651,582eedd9
1804461328984000512,干货满满,39.932,1742199753,252a053c
1804461385632221184,知识+1 头发-1,46.66,1742199759,252a053c
1804461515043312896,不错 讲得很好,62.109,1742199775,252a053c
1804461560442433792,课对币有,67.527,1742199780,252a053c
1804461668957781760,讲得好 三连了,150.923,1742199793,582eedd9
1804461722401570816,直接收藏,157.306,1742199799,582eedd9
1804462521517161216,打卡学习,82.684,1742199895,582eedd9
1804462582905085696,干货满满,89.988,1742199902,582eedd9
1804462629629571584,打卡学习,95.556,1742199908,582eedd9
1804462694968466176,打卡学习,103.368,1742199915,582eedd9
1804462864149950208,打卡学习,123.529,1742199936,582eedd9
1895639579831792640,一键三连了，评论区拿资料和数据,256.18,1753069047,6c0ec0e6
1895639822581300992,一键三连了，评论区拿资料和数据,285.178,1753069076,6c0ec0e6
1895640019646372608,一键三连了，评论区拿资料和数据,307.122,1753069099,6c0ec0e6
1896355043721437184,在评论区拿资料和数据集,74.614,1753154337,5316d202
1896356133846141696,评论区领到了！评论区领到了！,239.22,1753154467,6c0ec0e6
1908634563241400576,设计狗也想转行,158.864,1754618170,5316d202
1908634584355058944,设计狗也想转行,203.443,1754618172,da86a374
1908634701376658176,收藏从未结束 学习从未开始,158.864,1754618186,5316d202
1908683181969233152,我领到啦 500G学习资料有点猛,158.864,1754623966,5316d202
1908683912616965888,笔记整挺好,158.864,1754624053,5316d202
