danmaku_id,content,progress,ctime,user_hash
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
1926420403338184704,i3 10105的水平,78.93,1756738407,8305a3f0
1926773160746123008,我这馒头两块钱,22.65,1756780459,a4ff523f
1956522701258792448,4核8线？感觉不太够啊,46.616,1760326881,de46f3af
1965655591296829184,四核八线程 多开的重活,28.449,1761415606,d1ee3f24
1990539888797945344,3300x默频水平,81.334,1764382045,3bec711e
2020486883981320704,I74790k志强版,91.089,1767952005,4a12f21a
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1909449135824637440,这是麦光,36.229,1754715274,4b67150f
1909483440056084992,接近12100f了,89.828,1754719364,a3bc0b6c
1909492105882331136,就算他能超冒烟都没有121强，何况还不能超,103.565,1754720397,a3f9f233
1909522686661464320,原来最低136,12.337,1754724042,150d058c
1909525393270931968,12100 cpuz 单核680 多核3400 鲁大师40w+,90.553,1754724365,1fe230a2
1909542176778556416,9400单核470,82.185,1754726366,188ecaa2
1909548725479559424,三星发热大户,63.725,1754727146,48940bc7
1909657962638064640,直接买12100f吧,99.133,1754740169,78f41ad9
1909664871336231168,球球了，让我中一次,124.179,1754740992,56e2a3ad
1909675916146674688,8700k？,25.767,1754742309,45790390
1909697850695398400,别看不起pm9a1，这玩意和980pro一样的,73.236,1754744924,47cd017f
1909757142500648192,8代i3是4核4线程，i5是6核6线程，i7是6核12线程。8代桌面端没有4核8线程的，没法等同。,32.505,1754751992,d7896edd
1910935475200970496,125买2144g 性能接近但便宜很多,49.137,1754892460,76c90e64
1917944650510134272,夺少？3.8GHZ?,9.853,1755728019,8aec150e
1918238889836470272,8月20号用淘金币到手140,20.0,1755763095,e37ab911
1918478544397834240,r5 1500x,2.591,1755791664,71129efc
1923392253414766592,比12100差的太多了,99.551,1756377424,8c69a693
