danmaku_id,content,progress,ctime,user_hash
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
2018224037636969472,已免疫亲戚拷打,7.544,1767682253,6defa221
2018225068857667584,我也一样,10.638,1767682376,c6aeb11d
2018229146651464960,资料领到了 帅,17.089,1767682862,e5b66366
2018234372788469504,求分享,25.54,1767683485,71c85711
2018236418005977088,领了领了,28.621,1767683729,7d7448b0
2018237431702322944,谢谢up,30.853,1767683850,b0ffcc8f
2018241511879621376,已戳,35.612,1767684336,c4c64ac2
2018242525357411328,我也想要资料,37.788,1767684457,4d8981fb
2018243539356037120,戳链接了,38.648,1767684578,7738c46d
2018248753672276992,已戳求资料,43.617,1767685200,e9b9284c
2018248796395391488,已戳求资料,43.617,1767685205,e9b9284c
2018358779804636672,秀,15.993,1767698316,7bdc4bb4
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
