danmaku_id,content,progress,ctime,user_hash
,,0.0,1775683732.8000336,
1815384701356737024,字幕有点问题,374.115,1743501920,4eb5bb84
1829659648807506944,everything that 少了一个that,684.455,1745203626,1314c32f
1877454371395601152,很多时候 all too often,536.637,1750901201,9b1e649c
1897248077900211712,doing something is important than thinking 、,546.526,1753260795,4ffc469e
1902862554704230912,supporting这里是支持的意思吧,709.121,1753930093,7a2764e6
1908325781852668928,应该是应对资源。可以是物质，心理上的,364.055,1754581360,e892c470
1961249121617136128,先开始再优化,535.411,1760890314,b83fcc8b
1982752005827261952,呈螺旋式下降是指 陷入困境,401.14,1763453657,b30b3ab4
1990851996949472000,这里的意思应该是，降低要求，做差了就差了，先做,498.107,1764419252,aba09e7
2049259703288633600,just do it！！！,597.681,1771381993,40d25f4
2060142311681733120,cope的ing形式，cope是应对的意思,371.527,1772679301,e3fe416d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1824897196693254912,加油,773.903,1744635898,a591606f
1829375192519492096,早点睡吧各位晚安,908.891,1745169717,2e488cb8
1916260506851659008,加油,782.112,1755527253,cd80cff
1941270773990472448,最後一個有點理想化,817.681,1758508709,4269bd50
1983918556341285120,翻译好拉 现在才看懂这一段的意思,851.992,1763592721,90289467
2024909558010771456,为别人做事我真的最没动力了。只有为我自己才有些动力 这算主体性强还是不强啊,899.19,1768479229,5a9dcfc8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1826732459799546624,这个演讲是放慢倍速了吗？,107.921,1744854678,896d557a
1845757582468951296,我也觉得,122.425,1747122650,82b8dc58
1876396035854285056,1点25倍刚好,182.158,1750775038,f4764c43
1890860860470475776,有字幕么,17.921,1752499379,bb7a7141
1890860988111648512,她好好看！！！,33.117,1752499395,bb7a7141
1890861051814804992,也好厉害,40.729,1752499402,bb7a7141
1890861887899010816,字幕没有把倒装的地方翻译好,140.393,1752499502,bb7a7141
1898645760719924480,哇塞,5.113,1753427412,5d85040c
1902181830472924928,有人在这吗？回个在可以吗,11.763,1753848944,e90746dd
1902914244232818944,在,17.252,1753936255,11d35984
1937299251923236352,不行了，这个翻译有点搞笑,88.236,1758035267,951091d1
1942732407900435968,她好知性！,72.127,1758682950,92d8bc85
1945762173100522240,weird奇怪weird奇怪,46.977,1759044126,ac10d56c
1945774866985370112,croeded places,100.131,1759045639,ac10d56c
1945777530729076992,nausoisnauseous,110.171,1759045957,ac10d56c
1945785107487608576,scenariosdropout,158.088,1759046860,ac10d56c
1959360331046492160,她好好看,247.086,1760665153,dc80197
1971398422401520384,14分之1吗这是,141.18,1762100205,47f4bf62
1988041095833455872,二倍速刚好,194.597,1764084166,a4fcbb8
2050887394089810944,aanxiety disorder,131.996,1771576029,77736f72
2060420489498890752,適當的焦爐可以保護你自己促進你進步，但是過度焦爐導致你心裏產生疾病,246.403,1772712462,9eac0f0d
2065498043633637888,10000倍速刚好,209.791,1773317754,3be31229
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1815384701356737024,字幕有点问题,374.115,1743501920,4eb5bb84
1829659648807506944,everything that 少了一个that,684.455,1745203626,1314c32f
1877454371395601152,很多时候 all too often,536.637,1750901201,9b1e649c
1897248077900211712,doing something is important than thinking 、,546.526,1753260795,4ffc469e
1902862554704230912,supporting这里是支持的意思吧,709.121,1753930093,7a2764e6
1908325781852668928,应该是应对资源。可以是物质，心理上的,364.055,1754581360,e892c470
1961249121617136128,先开始再优化,535.411,1760890314,b83fcc8b
1982752005827261952,呈螺旋式下降是指 陷入困境,401.14,1763453657,b30b3ab4
1990851996949472000,这里的意思应该是，降低要求，做差了就差了，先做,498.107,1764419252,aba09e7
2049259703288633600,just do it！！！,597.681,1771381993,40d25f4
2060142311681733120,cope的ing形式，cope是应对的意思,371.527,1772679301,e3fe416d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1824897196693254912,加油,773.903,1744635898,a591606f
1829375192519492096,早点睡吧各位晚安,908.891,1745169717,2e488cb8
1916260506851659008,加油,782.112,1755527253,cd80cff
1941270773990472448,最後一個有點理想化,817.681,1758508709,4269bd50
1983918556341285120,翻译好拉 现在才看懂这一段的意思,851.992,1763592721,90289467
2024909558010771456,为别人做事我真的最没动力了。只有为我自己才有些动力 这算主体性强还是不强啊,899.19,1768479229,5a9dcfc8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1826732459799546624,这个演讲是放慢倍速了吗？,107.921,1744854678,896d557a
1845757582468951296,我也觉得,122.425,1747122650,82b8dc58
1876396035854285056,1点25倍刚好,182.158,1750775038,f4764c43
1890860860470475776,有字幕么,17.921,1752499379,bb7a7141
1890860988111648512,她好好看！！！,33.117,1752499395,bb7a7141
1890861051814804992,也好厉害,40.729,1752499402,bb7a7141
1890861887899010816,字幕没有把倒装的地方翻译好,140.393,1752499502,bb7a7141
1898645760719924480,哇塞,5.113,1753427412,5d85040c
1902181830472924928,有人在这吗？回个在可以吗,11.763,1753848944,e90746dd
1902914244232818944,在,17.252,1753936255,11d35984
1937299251923236352,不行了，这个翻译有点搞笑,88.236,1758035267,951091d1
1942732407900435968,她好知性！,72.127,1758682950,92d8bc85
1945762173100522240,weird奇怪weird奇怪,46.977,1759044126,ac10d56c
1945774866985370112,croeded places,100.131,1759045639,ac10d56c
1945777530729076992,nausoisnauseous,110.171,1759045957,ac10d56c
1945785107487608576,scenariosdropout,158.088,1759046860,ac10d56c
1959360331046492160,她好好看,247.086,1760665153,dc80197
1971398422401520384,14分之1吗这是,141.18,1762100205,47f4bf62
1988041095833455872,二倍速刚好,194.597,1764084166,a4fcbb8
2050887394089810944,aanxiety disorder,131.996,1771576029,77736f72
2060420489498890752,適當的焦爐可以保護你自己促進你進步，但是過度焦爐導致你心裏產生疾病,246.403,1772712462,9eac0f0d
2065498043633637888,10000倍速刚好,209.791,1773317754,3be31229
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1815384701356737024,字幕有点问题,374.115,1743501920,4eb5bb84
1829659648807506944,everything that 少了一个that,684.455,1745203626,1314c32f
1877454371395601152,很多时候 all too often,536.637,1750901201,9b1e649c
1897248077900211712,doing something is important than thinking 、,546.526,1753260795,4ffc469e
1902862554704230912,supporting这里是支持的意思吧,709.121,1753930093,7a2764e6
1908325781852668928,应该是应对资源。可以是物质，心理上的,364.055,1754581360,e892c470
1961249121617136128,先开始再优化,535.411,1760890314,b83fcc8b
1982752005827261952,呈螺旋式下降是指 陷入困境,401.14,1763453657,b30b3ab4
1990851996949472000,这里的意思应该是，降低要求，做差了就差了，先做,498.107,1764419252,aba09e7
2049259703288633600,just do it！！！,597.681,1771381993,40d25f4
2060142311681733120,cope的ing形式，cope是应对的意思,371.527,1772679301,e3fe416d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1824897196693254912,加油,773.903,1744635898,a591606f
1829375192519492096,早点睡吧各位晚安,908.891,1745169717,2e488cb8
1916260506851659008,加油,782.112,1755527253,cd80cff
1941270773990472448,最後一個有點理想化,817.681,1758508709,4269bd50
1983918556341285120,翻译好拉 现在才看懂这一段的意思,851.992,1763592721,90289467
2024909558010771456,为别人做事我真的最没动力了。只有为我自己才有些动力 这算主体性强还是不强啊,899.19,1768479229,5a9dcfc8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1826732459799546624,这个演讲是放慢倍速了吗？,107.921,1744854678,896d557a
1845757582468951296,我也觉得,122.425,1747122650,82b8dc58
1876396035854285056,1点25倍刚好,182.158,1750775038,f4764c43
1890860860470475776,有字幕么,17.921,1752499379,bb7a7141
1890860988111648512,她好好看！！！,33.117,1752499395,bb7a7141
1890861051814804992,也好厉害,40.729,1752499402,bb7a7141
1890861887899010816,字幕没有把倒装的地方翻译好,140.393,1752499502,bb7a7141
1898645760719924480,哇塞,5.113,1753427412,5d85040c
1902181830472924928,有人在这吗？回个在可以吗,11.763,1753848944,e90746dd
1902914244232818944,在,17.252,1753936255,11d35984
1937299251923236352,不行了，这个翻译有点搞笑,88.236,1758035267,951091d1
1942732407900435968,她好知性！,72.127,1758682950,92d8bc85
1945762173100522240,weird奇怪weird奇怪,46.977,1759044126,ac10d56c
1945774866985370112,croeded places,100.131,1759045639,ac10d56c
1945777530729076992,nausoisnauseous,110.171,1759045957,ac10d56c
1945785107487608576,scenariosdropout,158.088,1759046860,ac10d56c
1959360331046492160,她好好看,247.086,1760665153,dc80197
1971398422401520384,14分之1吗这是,141.18,1762100205,47f4bf62
1988041095833455872,二倍速刚好,194.597,1764084166,a4fcbb8
2050887394089810944,aanxiety disorder,131.996,1771576029,77736f72
2060420489498890752,適當的焦爐可以保護你自己促進你進步，但是過度焦爐導致你心裏產生疾病,246.403,1772712462,9eac0f0d
2065498043633637888,10000倍速刚好,209.791,1773317754,3be31229
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1815384701356737024,字幕有点问题,374.115,1743501920,4eb5bb84
1829659648807506944,everything that 少了一个that,684.455,1745203626,1314c32f
1877454371395601152,很多时候 all too often,536.637,1750901201,9b1e649c
1897248077900211712,doing something is important than thinking 、,546.526,1753260795,4ffc469e
1902862554704230912,supporting这里是支持的意思吧,709.121,1753930093,7a2764e6
1908325781852668928,应该是应对资源。可以是物质，心理上的,364.055,1754581360,e892c470
1961249121617136128,先开始再优化,535.411,1760890314,b83fcc8b
1982752005827261952,呈螺旋式下降是指 陷入困境,401.14,1763453657,b30b3ab4
1990851996949472000,这里的意思应该是，降低要求，做差了就差了，先做,498.107,1764419252,aba09e7
2049259703288633600,just do it！！！,597.681,1771381993,40d25f4
2060142311681733120,cope的ing形式，cope是应对的意思,371.527,1772679301,e3fe416d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1824897196693254912,加油,773.903,1744635898,a591606f
1829375192519492096,早点睡吧各位晚安,908.891,1745169717,2e488cb8
1916260506851659008,加油,782.112,1755527253,cd80cff
1941270773990472448,最後一個有點理想化,817.681,1758508709,4269bd50
1983918556341285120,翻译好拉 现在才看懂这一段的意思,851.992,1763592721,90289467
2024909558010771456,为别人做事我真的最没动力了。只有为我自己才有些动力 这算主体性强还是不强啊,899.19,1768479229,5a9dcfc8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1826732459799546624,这个演讲是放慢倍速了吗？,107.921,1744854678,896d557a
1845757582468951296,我也觉得,122.425,1747122650,82b8dc58
1876396035854285056,1点25倍刚好,182.158,1750775038,f4764c43
1890860860470475776,有字幕么,17.921,1752499379,bb7a7141
1890860988111648512,她好好看！！！,33.117,1752499395,bb7a7141
1890861051814804992,也好厉害,40.729,1752499402,bb7a7141
1890861887899010816,字幕没有把倒装的地方翻译好,140.393,1752499502,bb7a7141
1898645760719924480,哇塞,5.113,1753427412,5d85040c
1902181830472924928,有人在这吗？回个在可以吗,11.763,1753848944,e90746dd
1902914244232818944,在,17.252,1753936255,11d35984
1937299251923236352,不行了，这个翻译有点搞笑,88.236,1758035267,951091d1
1942732407900435968,她好知性！,72.127,1758682950,92d8bc85
1945762173100522240,weird奇怪weird奇怪,46.977,1759044126,ac10d56c
1945774866985370112,croeded places,100.131,1759045639,ac10d56c
1945777530729076992,nausoisnauseous,110.171,1759045957,ac10d56c
1945785107487608576,scenariosdropout,158.088,1759046860,ac10d56c
1959360331046492160,她好好看,247.086,1760665153,dc80197
1971398422401520384,14分之1吗这是,141.18,1762100205,47f4bf62
1988041095833455872,二倍速刚好,194.597,1764084166,a4fcbb8
2050887394089810944,aanxiety disorder,131.996,1771576029,77736f72
2060420489498890752,適當的焦爐可以保護你自己促進你進步，但是過度焦爐導致你心裏產生疾病,246.403,1772712462,9eac0f0d
2065498043633637888,10000倍速刚好,209.791,1773317754,3be31229
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1815384701356737024,字幕有点问题,374.115,1743501920,4eb5bb84
1829659648807506944,everything that 少了一个that,684.455,1745203626,1314c32f
1877454371395601152,很多时候 all too often,536.637,1750901201,9b1e649c
1897248077900211712,doing something is important than thinking 、,546.526,1753260795,4ffc469e
1902862554704230912,supporting这里是支持的意思吧,709.121,1753930093,7a2764e6
1908325781852668928,应该是应对资源。可以是物质，心理上的,364.055,1754581360,e892c470
1961249121617136128,先开始再优化,535.411,1760890314,b83fcc8b
1982752005827261952,呈螺旋式下降是指 陷入困境,401.14,1763453657,b30b3ab4
1990851996949472000,这里的意思应该是，降低要求，做差了就差了，先做,498.107,1764419252,aba09e7
2049259703288633600,just do it！！！,597.681,1771381993,40d25f4
2060142311681733120,cope的ing形式，cope是应对的意思,371.527,1772679301,e3fe416d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1824897196693254912,加油,773.903,1744635898,a591606f
1829375192519492096,早点睡吧各位晚安,908.891,1745169717,2e488cb8
1916260506851659008,加油,782.112,1755527253,cd80cff
1941270773990472448,最後一個有點理想化,817.681,1758508709,4269bd50
1983918556341285120,翻译好拉 现在才看懂这一段的意思,851.992,1763592721,90289467
2024909558010771456,为别人做事我真的最没动力了。只有为我自己才有些动力 这算主体性强还是不强啊,899.19,1768479229,5a9dcfc8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1826732459799546624,这个演讲是放慢倍速了吗？,107.921,1744854678,896d557a
1845757582468951296,我也觉得,122.425,1747122650,82b8dc58
1876396035854285056,1点25倍刚好,182.158,1750775038,f4764c43
1890860860470475776,有字幕么,17.921,1752499379,bb7a7141
1890860988111648512,她好好看！！！,33.117,1752499395,bb7a7141
1890861051814804992,也好厉害,40.729,1752499402,bb7a7141
1890861887899010816,字幕没有把倒装的地方翻译好,140.393,1752499502,bb7a7141
1898645760719924480,哇塞,5.113,1753427412,5d85040c
1902181830472924928,有人在这吗？回个在可以吗,11.763,1753848944,e90746dd
1902914244232818944,在,17.252,1753936255,11d35984
1937299251923236352,不行了，这个翻译有点搞笑,88.236,1758035267,951091d1
1942732407900435968,她好知性！,72.127,1758682950,92d8bc85
1945762173100522240,weird奇怪weird奇怪,46.977,1759044126,ac10d56c
1945774866985370112,croeded places,100.131,1759045639,ac10d56c
1945777530729076992,nausoisnauseous,110.171,1759045957,ac10d56c
1945785107487608576,scenariosdropout,158.088,1759046860,ac10d56c
1959360331046492160,她好好看,247.086,1760665153,dc80197
1971398422401520384,14分之1吗这是,141.18,1762100205,47f4bf62
1988041095833455872,二倍速刚好,194.597,1764084166,a4fcbb8
2050887394089810944,aanxiety disorder,131.996,1771576029,77736f72
2060420489498890752,適當的焦爐可以保護你自己促進你進步，但是過度焦爐導致你心裏產生疾病,246.403,1772712462,9eac0f0d
2065498043633637888,10000倍速刚好,209.791,1773317754,3be31229
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1815384701356737024,字幕有点问题,374.115,1743501920,4eb5bb84
1829659648807506944,everything that 少了一个that,684.455,1745203626,1314c32f
1877454371395601152,很多时候 all too often,536.637,1750901201,9b1e649c
1897248077900211712,doing something is important than thinking 、,546.526,1753260795,4ffc469e
1902862554704230912,supporting这里是支持的意思吧,709.121,1753930093,7a2764e6
1908325781852668928,应该是应对资源。可以是物质，心理上的,364.055,1754581360,e892c470
1961249121617136128,先开始再优化,535.411,1760890314,b83fcc8b
1982752005827261952,呈螺旋式下降是指 陷入困境,401.14,1763453657,b30b3ab4
1990851996949472000,这里的意思应该是，降低要求，做差了就差了，先做,498.107,1764419252,aba09e7
2049259703288633600,just do it！！！,597.681,1771381993,40d25f4
2060142311681733120,cope的ing形式，cope是应对的意思,371.527,1772679301,e3fe416d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1824897196693254912,加油,773.903,1744635898,a591606f
1829375192519492096,早点睡吧各位晚安,908.891,1745169717,2e488cb8
1916260506851659008,加油,782.112,1755527253,cd80cff
1941270773990472448,最後一個有點理想化,817.681,1758508709,4269bd50
1983918556341285120,翻译好拉 现在才看懂这一段的意思,851.992,1763592721,90289467
2024909558010771456,为别人做事我真的最没动力了。只有为我自己才有些动力 这算主体性强还是不强啊,899.19,1768479229,5a9dcfc8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1826732459799546624,这个演讲是放慢倍速了吗？,107.921,1744854678,896d557a
1845757582468951296,我也觉得,122.425,1747122650,82b8dc58
1876396035854285056,1点25倍刚好,182.158,1750775038,f4764c43
1890860860470475776,有字幕么,17.921,1752499379,bb7a7141
1890860988111648512,她好好看！！！,33.117,1752499395,bb7a7141
1890861051814804992,也好厉害,40.729,1752499402,bb7a7141
1890861887899010816,字幕没有把倒装的地方翻译好,140.393,1752499502,bb7a7141
1898645760719924480,哇塞,5.113,1753427412,5d85040c
1902181830472924928,有人在这吗？回个在可以吗,11.763,1753848944,e90746dd
1902914244232818944,在,17.252,1753936255,11d35984
1937299251923236352,不行了，这个翻译有点搞笑,88.236,1758035267,951091d1
1942732407900435968,她好知性！,72.127,1758682950,92d8bc85
1945762173100522240,weird奇怪weird奇怪,46.977,1759044126,ac10d56c
1945774866985370112,croeded places,100.131,1759045639,ac10d56c
1945777530729076992,nausoisnauseous,110.171,1759045957,ac10d56c
1945785107487608576,scenariosdropout,158.088,1759046860,ac10d56c
1959360331046492160,她好好看,247.086,1760665153,dc80197
1971398422401520384,14分之1吗这是,141.18,1762100205,47f4bf62
1988041095833455872,二倍速刚好,194.597,1764084166,a4fcbb8
2050887394089810944,aanxiety disorder,131.996,1771576029,77736f72
2060420489498890752,適當的焦爐可以保護你自己促進你進步，但是過度焦爐導致你心裏產生疾病,246.403,1772712462,9eac0f0d
2065498043633637888,10000倍速刚好,209.791,1773317754,3be31229
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1815384701356737024,字幕有点问题,374.115,1743501920,4eb5bb84
1829659648807506944,everything that 少了一个that,684.455,1745203626,1314c32f
1877454371395601152,很多时候 all too often,536.637,1750901201,9b1e649c
1897248077900211712,doing something is important than thinking 、,546.526,1753260795,4ffc469e
1902862554704230912,supporting这里是支持的意思吧,709.121,1753930093,7a2764e6
1908325781852668928,应该是应对资源。可以是物质，心理上的,364.055,1754581360,e892c470
1961249121617136128,先开始再优化,535.411,1760890314,b83fcc8b
1982752005827261952,呈螺旋式下降是指 陷入困境,401.14,1763453657,b30b3ab4
1990851996949472000,这里的意思应该是，降低要求，做差了就差了，先做,498.107,1764419252,aba09e7
2049259703288633600,just do it！！！,597.681,1771381993,40d25f4
2060142311681733120,cope的ing形式，cope是应对的意思,371.527,1772679301,e3fe416d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1824897196693254912,加油,773.903,1744635898,a591606f
1829375192519492096,早点睡吧各位晚安,908.891,1745169717,2e488cb8
1916260506851659008,加油,782.112,1755527253,cd80cff
1941270773990472448,最後一個有點理想化,817.681,1758508709,4269bd50
1983918556341285120,翻译好拉 现在才看懂这一段的意思,851.992,1763592721,90289467
2024909558010771456,为别人做事我真的最没动力了。只有为我自己才有些动力 这算主体性强还是不强啊,899.19,1768479229,5a9dcfc8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1826732459799546624,这个演讲是放慢倍速了吗？,107.921,1744854678,896d557a
1845757582468951296,我也觉得,122.425,1747122650,82b8dc58
1876396035854285056,1点25倍刚好,182.158,1750775038,f4764c43
1890860860470475776,有字幕么,17.921,1752499379,bb7a7141
1890860988111648512,她好好看！！！,33.117,1752499395,bb7a7141
1890861051814804992,也好厉害,40.729,1752499402,bb7a7141
1890861887899010816,字幕没有把倒装的地方翻译好,140.393,1752499502,bb7a7141
1898645760719924480,哇塞,5.113,1753427412,5d85040c
1902181830472924928,有人在这吗？回个在可以吗,11.763,1753848944,e90746dd
1902914244232818944,在,17.252,1753936255,11d35984
1937299251923236352,不行了，这个翻译有点搞笑,88.236,1758035267,951091d1
1942732407900435968,她好知性！,72.127,1758682950,92d8bc85
1945762173100522240,weird奇怪weird奇怪,46.977,1759044126,ac10d56c
1945774866985370112,croeded places,100.131,1759045639,ac10d56c
1945777530729076992,nausoisnauseous,110.171,1759045957,ac10d56c
1945785107487608576,scenariosdropout,158.088,1759046860,ac10d56c
1959360331046492160,她好好看,247.086,1760665153,dc80197
1971398422401520384,14分之1吗这是,141.18,1762100205,47f4bf62
1988041095833455872,二倍速刚好,194.597,1764084166,a4fcbb8
2050887394089810944,aanxiety disorder,131.996,1771576029,77736f72
2060420489498890752,適當的焦爐可以保護你自己促進你進步，但是過度焦爐導致你心裏產生疾病,246.403,1772712462,9eac0f0d
2065498043633637888,10000倍速刚好,209.791,1773317754,3be31229
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1815384701356737024,字幕有点问题,374.115,1743501920,4eb5bb84
1829659648807506944,everything that 少了一个that,684.455,1745203626,1314c32f
1877454371395601152,很多时候 all too often,536.637,1750901201,9b1e649c
1897248077900211712,doing something is important than thinking 、,546.526,1753260795,4ffc469e
1902862554704230912,supporting这里是支持的意思吧,709.121,1753930093,7a2764e6
1908325781852668928,应该是应对资源。可以是物质，心理上的,364.055,1754581360,e892c470
1961249121617136128,先开始再优化,535.411,1760890314,b83fcc8b
1982752005827261952,呈螺旋式下降是指 陷入困境,401.14,1763453657,b30b3ab4
1990851996949472000,这里的意思应该是，降低要求，做差了就差了，先做,498.107,1764419252,aba09e7
2049259703288633600,just do it！！！,597.681,1771381993,40d25f4
2060142311681733120,cope的ing形式，cope是应对的意思,371.527,1772679301,e3fe416d
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1824897196693254912,加油,773.903,1744635898,a591606f
1829375192519492096,早点睡吧各位晚安,908.891,1745169717,2e488cb8
1916260506851659008,加油,782.112,1755527253,cd80cff
1941270773990472448,最後一個有點理想化,817.681,1758508709,4269bd50
1983918556341285120,翻译好拉 现在才看懂这一段的意思,851.992,1763592721,90289467
2024909558010771456,为别人做事我真的最没动力了。只有为我自己才有些动力 这算主体性强还是不强啊,899.19,1768479229,5a9dcfc8
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1826732459799546624,这个演讲是放慢倍速了吗？,107.921,1744854678,896d557a
1845757582468951296,我也觉得,122.425,1747122650,82b8dc58
1876396035854285056,1点25倍刚好,182.158,1750775038,f4764c43
1890860860470475776,有字幕么,17.921,1752499379,bb7a7141
1890860988111648512,她好好看！！！,33.117,1752499395,bb7a7141
