danmaku_id,content,progress,ctime,user_hash
1776855017904158976,这位老师结局是怎样？跟这个视频有什么关系呢？～,77.921,1738908824,6a7b6a57
1776889633603631872,后来会不会出2,77.866,1738912950,20f8b5d0
1776944819403597568,没有变色龙发卡啊，不是崩崩琪,143.464,1738919529,6f51bb07
1777008460610381056,补豪,62.016,1738927116,c715029d
1777039726235344384,有花火在，那太有生活了。,126.724,1738930843,6999c9ea
1777061199150731264,枣尚耗--爽姐音,26.326,1738933403,cece298
1777129464904867584,原来是饼干啊，我还以为是应急食品,182.043,1738941540,51267755
1777738555725602560,啊？,4.033,1739014150,c8cc4c28
1777739927825182208,派蒙是吧,178.774,1739014313,a9e9a913
1778135951172883712,你是？街头霸王！,123.895,1739061523,19cab072
1778388380955146752,慈姐不应该用姬子代替吗（,12.556,1739091615,b0a99efd
1778498805395312896,丸辣,54.927,1739104779,4c49e202
1778863192869763328,罐装知识（幻听）,186.306,1739148217,48c4b99d
1779126173792846848, 派蒙应急口粮,183.876,1739179567,672a76a4
1779126436104365568,应急食品,192.656,1739179598,672a76a4
1779151550221580544,这个挥手有点英语书中对话的视频的味道,73.859,1739182592,8fd3900e
1779152015067752960,想到了某人串联酒精灯和加纳,86.142,1739182647,8fd3900e
1779297528584586496,小镰刀,144.792,1739199994,3428c3ad
1780172415192701184,别啊,95.773,1739304288,e8e57636
1780685831129456128,冷知识，棒球不管在国内和国外，都是很小众的（在俄罗斯，一年能卖15000根球棒而棒球只卖出三个）,148.439,1739365492,b8a0156
1780994215166298880,补豪,46.275,1739402255,71b3a397
1782130473007580416,布豪！,33.491,1739537707,72c1aeb4
1782302359754932480,小形社会,104.431,1739558198,bf06ac7d
1782479184078615040,当我看到这个的时候就意识到事情的严重性,114.229,1739579277,5831d22
1782495284635986688,完蛋，姬子阿姐变慈姐了,64.599,1739581196,f6502d42
1783290384224050944,丸辣——,7.207,1739675979,a9dc6871
1784234799213470208,天台！,203.341,1739788562,e5fab6c0
1784317106272768000,嘎嘣脆，鸡肉味,195.28,1739798374,53b16df5
1784906751461299712,这声好的感觉有点违和感,77.979,1739868665,21d2882f
1785398210123764736,我嘞个崩坏学园,23.146,1739927252,b0dd6ccc
1785546648270213888,出了学校就完了,161.981,1739944947,4bc87cfd
1785691159399227392,规则就是用来打破的,148.298,1739962174,f9f13853
1785856686154891776,丸辣！,59.393,1739981906,193672bc
1786125081664087808,画风像AI，不过拼接了一些人工吧,88.42,1740013902,83b2483
1786978383595463424,你币有了,8.775,1740115623,cc76dcee
1786990020658200576,枣尚耗～（误）,27.944,1740117010,26637ca1
1787110049031202816,丸辣,119.58,1740131319,7e5c438a
1788271505352915456,这才哪到哪，AI的还能更牛比,208.403,1740269775,29faa3ba
1788495199824142848,是学园孤岛，完辣！,35.568,1740296442,38bf31cf
1789754294930002688,枣尚耗！,26.864,1740446537,974635f6
1789779365207460608,补药啊,10.331,1740449526,239f0f6e
1791365536350314496,这玻璃怎么这么完整,36.746,1740638612,ac5ac243
1813892203828417024,胡一铲,137.269,1743324000,7cb60bfd
1813892468086155520,这个饼干。。。。,172.83,1743324032,7cb60bfd
1821917008880180480,这看着有点眼熟像某个动漫人物,14.18,1744280632,fa1ec8ed
1823896548175121408,慈姐？不药啊！,47.697,1744516611,81df037e
1826224559054019584,竟然不是铲子差评,137.91,1744794132,5a515f08
1826224870892203008,大胆点太郎丸,161.43,1744794169,5a515f08
1826225092250860800,约阿希姆出太郎丸,171.65,1744794195,5a515f08
1828927733666058752,花一铲,130.562,1745116375,943d2359
1837036479844133888,早上就回家？,162.491,1746083013,a5ad6549
1841832214917788160,刚说完怎么又开始跑了,74.292,1746654709,899b0f9a
1856803727873454848,卡卡卡卡卡妈,7.379,1748439453,cde394fe
1859980190601145088,蕉蕉蕉,98.654,1748818117,c500d049
1867521092273685504,枣尚好~你嘞~,123.667,1749717062,8ac14488
1867521397753275136,派蒙饼干,180.896,1749717099,8ac14488
1873543805190529536,像我写的英语作文。,110.105,1750435025,c6b396d1
1874723618849143296,那个图标,194.505,1750575670,5f70c5fd
1882637478637654272,早上，回家？,165.041,1751519076,b092e5de
1882764691223470592,我寻思标题不就写着学园孤岛？,148.021,1751534241,9f8e1afc
1885549005728329472,花火：用派蒙做的当然好吃啦,190.178,1751866157,870d0b89
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1772653212986946048,姬子…老师？！,57.291,1738407930,732e0aa1
1772655292463573248,No～～～,166.288,1738408178,2f05d775
1772656510850401280,崩2草履虫,143.131,1738408323,6034b2ca
1772657691538318080,夜之城！（即答）,27.889,1738408464,ae219bab
1772658021101562880,666,195.187,1738408503,911a3c6c
1772658090005663232,我嘞个琪亚娜！,143.824,1738408511,76095505
1772658409301451264,花火得不像花火,136.2,1738408549,e19edaab
1772658580797988096,崩崩琪！,141.86,1738408570,e19edaab
1772658664054853888,学院孤岛？,141.672,1738408579,7c02856a
1772659100371567616,《应急食品》,184.92,1738408631,e19edaab
1772659332509399040,花火史诗级加强,192.88,1738408659,e19edaab
1772661381142392320,不会有最后一课吧,66.904,1738408903,95608c5d
1772664650023430656,不好,81.141,1738409293,ba37c2a9
1772664873881903616,额，符合原著？,52.96,1738409320,69ac0fc9
1772665467811662848,姬子老师！！！（警觉）,49.805,1738409391,8b1bcfd1
1772665845206739456,圣芙蕾雅？,87.513,1738409436,31b583d3
1772666119858023936,Ai改变生活,40.95,1738409468,b858dad3
1772666233632857088,枣！尚！耗！,125.705,1738409482,8b1bcfd1
1772666857451845120,花火大人,128.097,1738409556,b858dad3
1772667728147009024,这很不花火,203.727,1738409660,31b583d3
1772668280075655680,姬子少校！,50.171,1738409726,8a3c20e4
1772669162129470720,3A制作,204.109,1738409831,d3b84219
1772669206430034432,无量塔姬子,55.58,1738409836,dff4fac2
1772673111947943424,不是慈姐，是佐仓老师……,45.631,1738410302,cb7af84f
1772674662011144704,简称：崩坏学园（doge）,32.596,1738410487,62ede002
1772674861283132672,丸辣,110.054,1738410510,cb7af84f
1772674933634663680,确实惊险,160.618,1738410519,66fda51f
1772677789812894720,我看了个啥,205.28,1738410859,f0d1273e
1772678276092426240,希望不要最后一课,58.363,1738410917,d6b252b1
1772685004368153344,三月七·卡斯兰娜，完犊子了,52.024,1738411719,62ede002
1772689581259586304,博识尊（即答）,88.742,1738412265,62ede002
1772694374803867904,星：老姐你来啦？,145.143,1738412837,62ede002
1772694622485849088,应急食品,179.836,1738412866,62ede002
1772694868414604288,爷的追番键呢,206.432,1738412895,62ede002
1772698790181679360,步豪！,0.282,1738413363,224f086
1772699122890220288,三月七，这是最后一课了,53.486,1738413403,ee48bf3a
1772704856084244224,崩二琪？！,147.291,1738414086,43ef90eb
1772707063882559488,笑死，等你离开学校许多年后就会想念学校了,119.37,1738414349,a763b4a5
1772707432486212864,说实话我昨天晚上居然梦见自己在上课（已毕业快八年了,121.026,1738414393,a763b4a5
1772718334304534272,姬子老师！,45.508,1738415693,5a4abc4b
1772719083197401344,文学部（不是）,115.866,1738415782,5a4abc4b
1772720585664387840,梦幻联动(不是,143.295,1738415961,cd33a0c5
1772726062988600320,糟殇嗥！,128.391,1738416614,a7e91f93
1772728124069564672,姬子老师，是你吗？,49.998,1738416860,d5011ccf
1772728901072720896,等等，学园孤岛，是那个学园孤岛吗,34.131,1738416952,4a06c95b
1772735538257478656,折  纸  大  学,103.081,1738417744,ba5c960e
1772735933830435072,经典的作品（指崩坏二）,137.735,1738417791,ba5c960e
1772736243453516800,丸了,58.0,1738417828,8cad2509
1772736826487363840,派——蒙——,180.854,1738417897,ba5c960e
1772741818514444544,不是早上吗,168.551,1738418492,617b171
1772742217123946752,看到花火就樂了,128.871,1738418540,8fea1949
1772744316994318848,三月可爱捏,27.719,1738418790,e60c1e27
1772745771855799808,派蒙应急食物绷不住了哈哈哈,180.819,1738418964,e60c1e27
1772748452242286848,这是AI动画?,2.771,1738419283,dd856e49
1772754279976314880,我要！我要！我就是要美味的罐装饼干！,181.53,1738419978,bc629c87
1772754885893844992,有的，兄弟，有的，像这样的场面还有九集,73.32,1738420050,e4323497
1772757929742259456,这个说法……,88.28,1738420413,a49a69a9
1772759525464743936,这能继续出连续剧吗？,10.667,1738420603,64d11a99
1772765871371346688,三月七不是在折纸大学筑梦打灰吗？,108.84,1738421360,3055f124
1772768671329318400,这是这部番的PV，还有七个，然后才是第一集,74.426,1738421693,1e223b6d
1772776118064605952,这是干什么，就不能让我们看正常的太空「喜剧」嘛？,34.144,1738422581,34ad920
1772779914849386240,这是饼干啊，我还以为是橡皮,175.825,1738423034,e5cbe9c4
1772789739058264064,我还以为会是胡桃,122.283,1738424205,ec4c4a4a
1772790189022888192,粉色飞头蛮！,79.624,1738424258,471be71
1772793966715506432,丸辣！,37.788,1738424709,82731f16
1772795871097159936,爷的追番键呢,212.491,1738424936,caba2656
1772796100600673536,广播社社长：知更鸟,96.929,1738424963,3eb42790
1772800351855685632,去社团，那说明最后一课上完了啊,64.543,1738425470,c62a3e24
1772805105654508032,是孤岛，我们没救了,38.405,1738426037,386e0264
1772815947191696896,我没记错，好像是铲子吧,147.48,1738427329,987ae664
1772819736125062144,你告诉我这是AI？,22.648,1738427781,4073c9c5
1772822016962586624,最后一课,50.786,1738428053,b4fb0b0b
1772843437104776192,可爱捏,190.217,1738430606,bf4fb310
1772843640268945664,差异巨大的世界观，相似的剧本(泪),75.738,1738430630,a4364998
1772845050377256960,没有冥场面?,208.78,1738430798,a4364998
1772848650977352704,鲁伯特帝国差分机,88.792,1738431228,27c88887
1772853138345335040,有流萤，稳啦！,200.13,1738431763,a49d278f
1772904979683206912,实则不然,166.56,1738437943,4ace3cfb
1772937280949229568,是那个第二集就天崩开局的番？,38.892,1738441793,f191160e
1772937701126160896,慈姐！！,64.229,1738441843,f191160e
1772976281106095872,电磁炮,9.912,1738446442,8ae2f407
1773012169802287360,三月七-由纪,0.201,1738450721,8cb60c01
1773015153521167872,卡芙卡-老师,5.904,1738451076,8cb60c01
1773032067866236160,完犊子了，我阿星呢？,56.529,1738453093,83086dbf
1773032975622324992,三月可爱捏,148.955,1738453201,1b9ab593
1773041538294284288,催更催更！,209.788,1738454222,72021bcf
1773041666337923328,姬子老师！我要成为最强的无名客！,49.727,1738454237,cd95fce3
1773049040444467968,丸辣,50.496,1738455116,7af68b6f
1773049621724615424,丸辣,116.182,1738455185,7af68b6f
1773051537590161664,枣尚耗,27.539,1738455414,d314e775
1773060447759792128,花火人设没对上,184.834,1738456476,689a608a
1773069917122521344,3A:AI配音，AI作图，AI架构,211.298,1738457605,62339c53
1773072621257369344,枣尚耗！！,29.051,1738457927,79de4278
1773073669925399040,枣尚豪,27.739,1738458052,ca6f1b08
1773078451575094272,九霄？,15.293,1738458622,9ceaf504
1773080601013498624,我猜是少量AI，大部分还人工,25.469,1738458878,a0b52852
1773088574443937536,应该是AI辅助人工作画,67.18,1738459829,d29feb7a
1773090089451345408,什么学园孤岛？！！,32.804,1738460009,bb407e8d
1773093234450061824,花火饰胡桃（胡一铲,121.399,1738460384,ef7c7c8
1773094600517981184,这不是主角的专武吗？,157.731,1738460547,c3fd5682
1773096666221127936,圣芙蕾雅学院是吧,105.583,1738460793,2b5ae8fe
1773101121553588224,崩坏学园限时回归,34.143,1738461324,1a2ff710
1773111950189073664,派——蒙——,180.329,1738462615,751dd957
1773116577161107200,真正意义上的惊险,170.702,1738463167,83e3b2ee
1773134350901321216,坏了，套的是慈姐,56.127,1738465286,620b4380
1773138857580228864,星,138.883,1738465823,6c9f858f
1773143548632443904,《姬子温柔地注视着你》,45.734,1738466382,4fd3bb8c
1773148225214784512,派——蒙——,182.112,1738466940,51674dd5
1773148434040864256,应急食品,190.892,1738466965,51674dd5
1773149446813885952,我就知道！,209.777,1738467085,1946ff64
1773149639374820608,卡芙卡-老师,6.051,1738467108,51674dd5
1773158022060078592,不是，感觉真要失业了,11.48,1738468108,52f0ad00
1773176050805800704,AI都进化到这个地步了，牛啊,64.368,1738470257,d4239f6
1773178817771636480,什么？什么孤岛？布豪！,37.664,1738470587,d4239f6
1773180015455087872,下一集什么时候出！,204.686,1738470729,d4239f6
1773191050795137280,不行！绝对不能把姬子和老师两个词放在一起！,52.961,1738472045,77463005
1773197225783470080,我去，布豪,50.575,1738472781,992e3011
1773199870342617600,胡一铲,134.42,1738473096,3be18736
1773201891074077696,完，完啦！,102.598,1738473337,55ee2a27
1773202380180423680,感觉衣服要炸了,58.892,1738473395,267c846d
1773206694751425536,等等……姬子……老师……？！,48.384,1738473910,a6df8c5f
1773207687283320832,圣芙蕾雅学园（即答）,106.476,1738474028,a6df8c5f
1773207896419559936,不是说不可以在走廊奔跑吗,83.313,1738474053,1a765b56
1773208330244983040,我嘞个派蒙,180.909,1738474105,a6df8c5f
1773212067487086592,啊？姬子是慈姐？,44.09,1738474550,d926e4ee
1773212746805179392,那花火应该就是…,71.599,1738474631,d926e4ee
1773212845405018880,那花火是……,74.925,1738474643,d926e4ee
1773213252571106304,还真是花火,121.292,1738474692,d926e4ee
1773213826519549696,确实惊险,167.779,1738474760,d926e4ee
1773214190115413504,不会是白毛吧,199.693,1738474803,d926e4ee
1773232097495399936,这，这对吗？,60.739,1738476938,c487b2b9
1773232643031753216,丸啦,123.099,1738477003,c487b2b9
1773234810715323136,丸辣,108.678,1738477261,637c6860
1773248523639249408,等下，你告诉我这是ai做的动画？,46.991,1738478896,9d8b32ca
1773259174721932288,并非野外，确实求生,194.459,1738480166,5a1a232d
1773266925099625728,回家部,174.694,1738481090,bf3e9259
1773268938063947776,琪亚娜:阿嚏,142.465,1738481330,8215f24a
1773269377509740800,《应急の饼干》,179.736,1738481382,8215f24a
1773270258271076352,丸辣,118.196,1738481487,829a2506
1773272903215883520,天才俱乐部,93.326,1738481802,eeb4196a
1773275741132748288,丸辣！,103.175,1738482141,fd9bc6cd
1773277781518982400,如果再加个学园孤岛片头就更好了,32.714,1738482384,fd9bc6cd
1773279297206053376,学园生活部？…补毫！是介个学园孤岛,115.685,1738482565,bd8e63c6
1773281301848341760,姬子。。。。老师。。。。步豪！,55.884,1738482804,ea5c43f
1773302775007057152,怎么有点似曾相识,97.76,1738485363,4cf92f1a
1773307910907061504,我记得这部会不会出现一些刀嘞 ,2.822,1738485976,34c9f17d
1773319154150593280,这学校不能是叫圣芙蕾雅吧,108.395,1738487316,f4526265
1773319227358037248,《应急的饼干非常管饱》,184.898,1738487325,b509938f
1773320060052653056,丸辣,64.727,1738487424,e004a100
1773320159080104448,ai只是让画动起来，画还是人画的,31.351,1738487436,37588431
1773320688728492544,牛,169.793,1738487499,c4e8af23
1773322271961000192,《美味伙伴》,179.383,1738487688,188acd42
1773323082485024768,脸应该是AI绘图,71.04,1738487784,e80e29b5
1773323460810972672,猜猜为什么要在屋顶种菜,201.439,1738487829,84a9536f
1773324029534022912,妈！！！！,7.094,1738487897,6b11bc96
1773324196970745856,妈！！！,21.26,1738487917,6b11bc96
1773330984713535744,丸辣！,110.409,1738488726,4dfff160
1773343072815037440,我很好奇老杨是干啥的,155.857,1738490167,57b9044e
1773345937893310720,丸辣！！！,114.154,1738490509,c016e674
1773346118651246336,这姬子是无量塔姬子吧！,68.431,1738490530,1951eaee
