danmaku_id,content,progress,ctime,user_hash
1503836239714010368,西北：啊？？？？？,52.672,1706362449,3b3405dd
1504234212004296448,不送我家门口的快递都不叫外卖,40.619,1706409891,1f47a740
1506197061979600384,？,60.099,1706643881,d25f9fac
1506612869549131520,卧槽,58.27,1706693449,b64b6874
1506708474640581120,无人机都会飞了为什么不能从我家窗户里飞进来（,35.006,1706704846,147e24ef
1506769573754757120,？？？,59.779,1706712130,648cf26b
,,0.0,1775655139.4252825,
lb.c,,0.0,1775655139.4252825,
,,0.0,1775655139.4252825,
1488336216083889664,我点外卖还要去外面拿，我还不如直接去外面吃呢！,42.659,1704514702,29b7b72e
1488366551043356928,所以说我们点个外卖还要出去拿，意义何在,42.783,1704518319,46c88d9a
1488368121080417536,这么好的纸箱，我可不回收,27.787,1704518506,ed2a1ab2
1488510514328910336,你猜我为什么点外卖（就是难得出门）,31.179,1704535480,805e6c77
1488692474946989312,这玩意儿能进店取餐？至少近三年内没办法普及,54.219,1704557172,50c090f6
1489102656403267840,毕竟人家会直线飞行嘛，你不看看外卖小哥又左拐又右拐的,41.859,1704606069,ae846fb0
1489102823923856896,大疆：这是什么东西呀喂？,50.779,1704606089,ae846fb0
1489204711570884352,有点像容祖儿,15.935,1704618235,3dae689b
1489215578643426816,顺风表示：我的无人机又在哪了呢？,24.496,1704619531,66b05582
1489279464729819136,御制菜当然快,42.379,1704627146,fc088c43
1489302962848621824,@蜂花,34.059,1704629948,d231e2d4
1489364467341924608,[浦东国际无人机机场],51.929,1704637280,e5e4e0c4
1489434525213097728,。。。,60.724,1704645631,505a776
1489567506283884032,现在我是越来越看不懂了，,28.899,1704661484,79246452
1490558052628505600,乐迪,27.998,1704779566,16000c1f
1490911075527798784,是外卖员成本高还是无人机成本高,2.502,1704821650,8d2c4d5e
1491226328937503744,顺丰的惨痛史啊,22.82,1704859231,129b159d
1491277305341844480,抱歉，吉林没有,51.299,1704865308,2af3ff75
1491286556139763968,重庆了解一下,52.659,1704866410,fab84844
1491521367110297088,人机协同,57.594,1704894402,115f4d56
1491576882775571200,过度包装浪费资源,24.299,1704901020,c1e53e6a
1491998523640768768,舒淇亲戚？,16.591,1704951284,b920d152
1492995717839712512,来达州试试,53.579,1705070158,d93ee368
1493550798255626240,一个无人机，还有一个取餐机，再加上人工收纸箱，这成本更高,9.043,1705136329,b4a0d5ad
1494049942342245376,像极了eve,1.163,1705195832,e53c46a4
1494941860375102976,快普及吧,48.399,1705302157,9f3e0e26
1494950685626766336,我家楼下的炸鸡，我都要点外卖，你叫我下楼?,38.289,1705303209,7d907208
1496492121992440320,差点让我帮他洗碗了！,34.499,1705486962,ba41ed7e
1497195255760591616,刚刚接到通知，外卖员淘汰了（bushi）,47.219,1705570782,8da5cd26
1497927282872916224,不好意思限飞,6.757,1705658047,c464a5ec
1500640009198587904,你猜下雨天怎么办(doge),62.739,1705981429,e4873114
1501001353764335616,你猜下雨天怎么办(doge),59.243,1706024504,ace43e5d
1501001454419554560,你猜下雨天怎么办(doge),60.353,1706024516,ace43e5d
1501698296664577536,跑腿取外卖业务：你好,36.569,1706107587,4a868593
1502174865489643008,嫌慢的用无人机，不想出门的就请外卖小哥呗，各取所需啊,43.673,1706164398,d70ebc0c
1503362656411942656,天才,1.122,1706305994,771b95b5
1503442772206881280,就很棒,7.463,1706315544,2762e5f
1503706211726455040,妹子好像舒淇,7.971,1706346949,f080fd08
1503836239714010368,西北：啊？？？？？,52.672,1706362449,3b3405dd
1504234212004296448,不送我家门口的快递都不叫外卖,40.619,1706409891,1f47a740
1506197061979600384,？,60.099,1706643881,d25f9fac
1506612869549131520,卧槽,58.27,1706693449,b64b6874
1506708474640581120,无人机都会飞了为什么不能从我家窗户里飞进来（,35.006,1706704846,147e24ef
1506769573754757120,？？？,59.779,1706712130,648cf26b
,,0.0,1775655139.4252825,
lb.c,,0.0,1775655139.4252825,
,,0.0,1775655139.4252825,
1488336216083889664,我点外卖还要去外面拿，我还不如直接去外面吃呢！,42.659,1704514702,29b7b72e
1488366551043356928,所以说我们点个外卖还要出去拿，意义何在,42.783,1704518319,46c88d9a
1488368121080417536,这么好的纸箱，我可不回收,27.787,1704518506,ed2a1ab2
1488510514328910336,你猜我为什么点外卖（就是难得出门）,31.179,1704535480,805e6c77
1488692474946989312,这玩意儿能进店取餐？至少近三年内没办法普及,54.219,1704557172,50c090f6
1489102656403267840,毕竟人家会直线飞行嘛，你不看看外卖小哥又左拐又右拐的,41.859,1704606069,ae846fb0
1489102823923856896,大疆：这是什么东西呀喂？,50.779,1704606089,ae846fb0
1489204711570884352,有点像容祖儿,15.935,1704618235,3dae689b
1489215578643426816,顺风表示：我的无人机又在哪了呢？,24.496,1704619531,66b05582
1489279464729819136,御制菜当然快,42.379,1704627146,fc088c43
1489302962848621824,@蜂花,34.059,1704629948,d231e2d4
1489364467341924608,[浦东国际无人机机场],51.929,1704637280,e5e4e0c4
1489434525213097728,。。。,60.724,1704645631,505a776
1489567506283884032,现在我是越来越看不懂了，,28.899,1704661484,79246452
1490558052628505600,乐迪,27.998,1704779566,16000c1f
1490911075527798784,是外卖员成本高还是无人机成本高,2.502,1704821650,8d2c4d5e
1491226328937503744,顺丰的惨痛史啊,22.82,1704859231,129b159d
1491277305341844480,抱歉，吉林没有,51.299,1704865308,2af3ff75
1491286556139763968,重庆了解一下,52.659,1704866410,fab84844
1491521367110297088,人机协同,57.594,1704894402,115f4d56
1491576882775571200,过度包装浪费资源,24.299,1704901020,c1e53e6a
1491998523640768768,舒淇亲戚？,16.591,1704951284,b920d152
1492995717839712512,来达州试试,53.579,1705070158,d93ee368
1493550798255626240,一个无人机，还有一个取餐机，再加上人工收纸箱，这成本更高,9.043,1705136329,b4a0d5ad
1494049942342245376,像极了eve,1.163,1705195832,e53c46a4
1494941860375102976,快普及吧,48.399,1705302157,9f3e0e26
1494950685626766336,我家楼下的炸鸡，我都要点外卖，你叫我下楼?,38.289,1705303209,7d907208
1496492121992440320,差点让我帮他洗碗了！,34.499,1705486962,ba41ed7e
1497195255760591616,刚刚接到通知，外卖员淘汰了（bushi）,47.219,1705570782,8da5cd26
1497927282872916224,不好意思限飞,6.757,1705658047,c464a5ec
1500640009198587904,你猜下雨天怎么办(doge),62.739,1705981429,e4873114
1501001353764335616,你猜下雨天怎么办(doge),59.243,1706024504,ace43e5d
1501001454419554560,你猜下雨天怎么办(doge),60.353,1706024516,ace43e5d
1501698296664577536,跑腿取外卖业务：你好,36.569,1706107587,4a868593
1502174865489643008,嫌慢的用无人机，不想出门的就请外卖小哥呗，各取所需啊,43.673,1706164398,d70ebc0c
1503362656411942656,天才,1.122,1706305994,771b95b5
1503442772206881280,就很棒,7.463,1706315544,2762e5f
1503706211726455040,妹子好像舒淇,7.971,1706346949,f080fd08
1503836239714010368,西北：啊？？？？？,52.672,1706362449,3b3405dd
1504234212004296448,不送我家门口的快递都不叫外卖,40.619,1706409891,1f47a740
1506197061979600384,？,60.099,1706643881,d25f9fac
1506612869549131520,卧槽,58.27,1706693449,b64b6874
1506708474640581120,无人机都会飞了为什么不能从我家窗户里飞进来（,35.006,1706704846,147e24ef
1506769573754757120,？？？,59.779,1706712130,648cf26b
,,0.0,1775655139.4252825,
lb.c,,0.0,1775655139.4252825,
,,0.0,1775655139.4252825,
1488336216083889664,我点外卖还要去外面拿，我还不如直接去外面吃呢！,42.659,1704514702,29b7b72e
1488366551043356928,所以说我们点个外卖还要出去拿，意义何在,42.783,1704518319,46c88d9a
1488368121080417536,这么好的纸箱，我可不回收,27.787,1704518506,ed2a1ab2
1488510514328910336,你猜我为什么点外卖（就是难得出门）,31.179,1704535480,805e6c77
1488692474946989312,这玩意儿能进店取餐？至少近三年内没办法普及,54.219,1704557172,50c090f6
1489102656403267840,毕竟人家会直线飞行嘛，你不看看外卖小哥又左拐又右拐的,41.859,1704606069,ae846fb0
1489102823923856896,大疆：这是什么东西呀喂？,50.779,1704606089,ae846fb0
1489204711570884352,有点像容祖儿,15.935,1704618235,3dae689b
1489215578643426816,顺风表示：我的无人机又在哪了呢？,24.496,1704619531,66b05582
1489279464729819136,御制菜当然快,42.379,1704627146,fc088c43
1489302962848621824,@蜂花,34.059,1704629948,d231e2d4
1489364467341924608,[浦东国际无人机机场],51.929,1704637280,e5e4e0c4
1489434525213097728,。。。,60.724,1704645631,505a776
1489567506283884032,现在我是越来越看不懂了，,28.899,1704661484,79246452
1490558052628505600,乐迪,27.998,1704779566,16000c1f
1490911075527798784,是外卖员成本高还是无人机成本高,2.502,1704821650,8d2c4d5e
1491226328937503744,顺丰的惨痛史啊,22.82,1704859231,129b159d
1491277305341844480,抱歉，吉林没有,51.299,1704865308,2af3ff75
1491286556139763968,重庆了解一下,52.659,1704866410,fab84844
1491521367110297088,人机协同,57.594,1704894402,115f4d56
1491576882775571200,过度包装浪费资源,24.299,1704901020,c1e53e6a
1491998523640768768,舒淇亲戚？,16.591,1704951284,b920d152
1492995717839712512,来达州试试,53.579,1705070158,d93ee368
1493550798255626240,一个无人机，还有一个取餐机，再加上人工收纸箱，这成本更高,9.043,1705136329,b4a0d5ad
1494049942342245376,像极了eve,1.163,1705195832,e53c46a4
1494941860375102976,快普及吧,48.399,1705302157,9f3e0e26
1494950685626766336,我家楼下的炸鸡，我都要点外卖，你叫我下楼?,38.289,1705303209,7d907208
1496492121992440320,差点让我帮他洗碗了！,34.499,1705486962,ba41ed7e
1497195255760591616,刚刚接到通知，外卖员淘汰了（bushi）,47.219,1705570782,8da5cd26
1497927282872916224,不好意思限飞,6.757,1705658047,c464a5ec
1500640009198587904,你猜下雨天怎么办(doge),62.739,1705981429,e4873114
1501001353764335616,你猜下雨天怎么办(doge),59.243,1706024504,ace43e5d
1501001454419554560,你猜下雨天怎么办(doge),60.353,1706024516,ace43e5d
1501698296664577536,跑腿取外卖业务：你好,36.569,1706107587,4a868593
1502174865489643008,嫌慢的用无人机，不想出门的就请外卖小哥呗，各取所需啊,43.673,1706164398,d70ebc0c
1503362656411942656,天才,1.122,1706305994,771b95b5
1503442772206881280,就很棒,7.463,1706315544,2762e5f
1503706211726455040,妹子好像舒淇,7.971,1706346949,f080fd08
1503836239714010368,西北：啊？？？？？,52.672,1706362449,3b3405dd
1504234212004296448,不送我家门口的快递都不叫外卖,40.619,1706409891,1f47a740
1506197061979600384,？,60.099,1706643881,d25f9fac
1506612869549131520,卧槽,58.27,1706693449,b64b6874
1506708474640581120,无人机都会飞了为什么不能从我家窗户里飞进来（,35.006,1706704846,147e24ef
1506769573754757120,？？？,59.779,1706712130,648cf26b
,,0.0,1775655139.4252825,
lb.c,,0.0,1775655139.4252825,
,,0.0,1775655139.4252825,
1488336216083889664,我点外卖还要去外面拿，我还不如直接去外面吃呢！,42.659,1704514702,29b7b72e
1488366551043356928,所以说我们点个外卖还要出去拿，意义何在,42.783,1704518319,46c88d9a
1488368121080417536,这么好的纸箱，我可不回收,27.787,1704518506,ed2a1ab2
1488510514328910336,你猜我为什么点外卖（就是难得出门）,31.179,1704535480,805e6c77
1488692474946989312,这玩意儿能进店取餐？至少近三年内没办法普及,54.219,1704557172,50c090f6
1489102656403267840,毕竟人家会直线飞行嘛，你不看看外卖小哥又左拐又右拐的,41.859,1704606069,ae846fb0
1489102823923856896,大疆：这是什么东西呀喂？,50.779,1704606089,ae846fb0
1489204711570884352,有点像容祖儿,15.935,1704618235,3dae689b
1489215578643426816,顺风表示：我的无人机又在哪了呢？,24.496,1704619531,66b05582
1489279464729819136,御制菜当然快,42.379,1704627146,fc088c43
1489302962848621824,@蜂花,34.059,1704629948,d231e2d4
1489364467341924608,[浦东国际无人机机场],51.929,1704637280,e5e4e0c4
1489434525213097728,。。。,60.724,1704645631,505a776
1489567506283884032,现在我是越来越看不懂了，,28.899,1704661484,79246452
1490558052628505600,乐迪,27.998,1704779566,16000c1f
1490911075527798784,是外卖员成本高还是无人机成本高,2.502,1704821650,8d2c4d5e
1491226328937503744,顺丰的惨痛史啊,22.82,1704859231,129b159d
1491277305341844480,抱歉，吉林没有,51.299,1704865308,2af3ff75
1491286556139763968,重庆了解一下,52.659,1704866410,fab84844
1491521367110297088,人机协同,57.594,1704894402,115f4d56
1491576882775571200,过度包装浪费资源,24.299,1704901020,c1e53e6a
1491998523640768768,舒淇亲戚？,16.591,1704951284,b920d152
1492995717839712512,来达州试试,53.579,1705070158,d93ee368
1493550798255626240,一个无人机，还有一个取餐机，再加上人工收纸箱，这成本更高,9.043,1705136329,b4a0d5ad
1494049942342245376,像极了eve,1.163,1705195832,e53c46a4
1494941860375102976,快普及吧,48.399,1705302157,9f3e0e26
1494950685626766336,我家楼下的炸鸡，我都要点外卖，你叫我下楼?,38.289,1705303209,7d907208
1496492121992440320,差点让我帮他洗碗了！,34.499,1705486962,ba41ed7e
1497195255760591616,刚刚接到通知，外卖员淘汰了（bushi）,47.219,1705570782,8da5cd26
1497927282872916224,不好意思限飞,6.757,1705658047,c464a5ec
1500640009198587904,你猜下雨天怎么办(doge),62.739,1705981429,e4873114
1501001353764335616,你猜下雨天怎么办(doge),59.243,1706024504,ace43e5d
1501001454419554560,你猜下雨天怎么办(doge),60.353,1706024516,ace43e5d
1501698296664577536,跑腿取外卖业务：你好,36.569,1706107587,4a868593
1502174865489643008,嫌慢的用无人机，不想出门的就请外卖小哥呗，各取所需啊,43.673,1706164398,d70ebc0c
1503362656411942656,天才,1.122,1706305994,771b95b5
1503442772206881280,就很棒,7.463,1706315544,2762e5f
1503706211726455040,妹子好像舒淇,7.971,1706346949,f080fd08
1503836239714010368,西北：啊？？？？？,52.672,1706362449,3b3405dd
1504234212004296448,不送我家门口的快递都不叫外卖,40.619,1706409891,1f47a740
1506197061979600384,？,60.099,1706643881,d25f9fac
1506612869549131520,卧槽,58.27,1706693449,b64b6874
1506708474640581120,无人机都会飞了为什么不能从我家窗户里飞进来（,35.006,1706704846,147e24ef
1506769573754757120,？？？,59.779,1706712130,648cf26b
,,0.0,1775655139.4252825,
lb.c,,0.0,1775655139.4252825,
,,0.0,1775655139.4252825,
1488336216083889664,我点外卖还要去外面拿，我还不如直接去外面吃呢！,42.659,1704514702,29b7b72e
1488366551043356928,所以说我们点个外卖还要出去拿，意义何在,42.783,1704518319,46c88d9a
1488368121080417536,这么好的纸箱，我可不回收,27.787,1704518506,ed2a1ab2
1488510514328910336,你猜我为什么点外卖（就是难得出门）,31.179,1704535480,805e6c77
1488692474946989312,这玩意儿能进店取餐？至少近三年内没办法普及,54.219,1704557172,50c090f6
1489102656403267840,毕竟人家会直线飞行嘛，你不看看外卖小哥又左拐又右拐的,41.859,1704606069,ae846fb0
1489102823923856896,大疆：这是什么东西呀喂？,50.779,1704606089,ae846fb0
1489204711570884352,有点像容祖儿,15.935,1704618235,3dae689b
1489215578643426816,顺风表示：我的无人机又在哪了呢？,24.496,1704619531,66b05582
1489279464729819136,御制菜当然快,42.379,1704627146,fc088c43
1489302962848621824,@蜂花,34.059,1704629948,d231e2d4
1489364467341924608,[浦东国际无人机机场],51.929,1704637280,e5e4e0c4
1489434525213097728,。。。,60.724,1704645631,505a776
1489567506283884032,现在我是越来越看不懂了，,28.899,1704661484,79246452
1490558052628505600,乐迪,27.998,1704779566,16000c1f
1490911075527798784,是外卖员成本高还是无人机成本高,2.502,1704821650,8d2c4d5e
1491226328937503744,顺丰的惨痛史啊,22.82,1704859231,129b159d
1491277305341844480,抱歉，吉林没有,51.299,1704865308,2af3ff75
1491286556139763968,重庆了解一下,52.659,1704866410,fab84844
1491521367110297088,人机协同,57.594,1704894402,115f4d56
1491576882775571200,过度包装浪费资源,24.299,1704901020,c1e53e6a
1491998523640768768,舒淇亲戚？,16.591,1704951284,b920d152
1492995717839712512,来达州试试,53.579,1705070158,d93ee368
1493550798255626240,一个无人机，还有一个取餐机，再加上人工收纸箱，这成本更高,9.043,1705136329,b4a0d5ad
1494049942342245376,像极了eve,1.163,1705195832,e53c46a4
1494941860375102976,快普及吧,48.399,1705302157,9f3e0e26
1494950685626766336,我家楼下的炸鸡，我都要点外卖，你叫我下楼?,38.289,1705303209,7d907208
1496492121992440320,差点让我帮他洗碗了！,34.499,1705486962,ba41ed7e
1497195255760591616,刚刚接到通知，外卖员淘汰了（bushi）,47.219,1705570782,8da5cd26
1497927282872916224,不好意思限飞,6.757,1705658047,c464a5ec
1500640009198587904,你猜下雨天怎么办(doge),62.739,1705981429,e4873114
1501001353764335616,你猜下雨天怎么办(doge),59.243,1706024504,ace43e5d
1501001454419554560,你猜下雨天怎么办(doge),60.353,1706024516,ace43e5d
1501698296664577536,跑腿取外卖业务：你好,36.569,1706107587,4a868593
1502174865489643008,嫌慢的用无人机，不想出门的就请外卖小哥呗，各取所需啊,43.673,1706164398,d70ebc0c
1503362656411942656,天才,1.122,1706305994,771b95b5
1503442772206881280,就很棒,7.463,1706315544,2762e5f
1503706211726455040,妹子好像舒淇,7.971,1706346949,f080fd08
1503836239714010368,西北：啊？？？？？,52.672,1706362449,3b3405dd
1504234212004296448,不送我家门口的快递都不叫外卖,40.619,1706409891,1f47a740
1506197061979600384,？,60.099,1706643881,d25f9fac
1506612869549131520,卧槽,58.27,1706693449,b64b6874
1506708474640581120,无人机都会飞了为什么不能从我家窗户里飞进来（,35.006,1706704846,147e24ef
1506769573754757120,？？？,59.779,1706712130,648cf26b
,,0.0,1775655139.4252825,
lb.c,,0.0,1775655139.4252825,
,,0.0,1775655139.4252825,
1488336216083889664,我点外卖还要去外面拿，我还不如直接去外面吃呢！,42.659,1704514702,29b7b72e
1488366551043356928,所以说我们点个外卖还要出去拿，意义何在,42.783,1704518319,46c88d9a
1488368121080417536,这么好的纸箱，我可不回收,27.787,1704518506,ed2a1ab2
1488510514328910336,你猜我为什么点外卖（就是难得出门）,31.179,1704535480,805e6c77
1488692474946989312,这玩意儿能进店取餐？至少近三年内没办法普及,54.219,1704557172,50c090f6
1489102656403267840,毕竟人家会直线飞行嘛，你不看看外卖小哥又左拐又右拐的,41.859,1704606069,ae846fb0
1489102823923856896,大疆：这是什么东西呀喂？,50.779,1704606089,ae846fb0
1489204711570884352,有点像容祖儿,15.935,1704618235,3dae689b
1489215578643426816,顺风表示：我的无人机又在哪了呢？,24.496,1704619531,66b05582
1489279464729819136,御制菜当然快,42.379,1704627146,fc088c43
1489302962848621824,@蜂花,34.059,1704629948,d231e2d4
1489364467341924608,[浦东国际无人机机场],51.929,1704637280,e5e4e0c4
1489434525213097728,。。。,60.724,1704645631,505a776
1489567506283884032,现在我是越来越看不懂了，,28.899,1704661484,79246452
1490558052628505600,乐迪,27.998,1704779566,16000c1f
1490911075527798784,是外卖员成本高还是无人机成本高,2.502,1704821650,8d2c4d5e
1491226328937503744,顺丰的惨痛史啊,22.82,1704859231,129b159d
1491277305341844480,抱歉，吉林没有,51.299,1704865308,2af3ff75
1491286556139763968,重庆了解一下,52.659,1704866410,fab84844
1491521367110297088,人机协同,57.594,1704894402,115f4d56
1491576882775571200,过度包装浪费资源,24.299,1704901020,c1e53e6a
1491998523640768768,舒淇亲戚？,16.591,1704951284,b920d152
1492995717839712512,来达州试试,53.579,1705070158,d93ee368
1493550798255626240,一个无人机，还有一个取餐机，再加上人工收纸箱，这成本更高,9.043,1705136329,b4a0d5ad
1494049942342245376,像极了eve,1.163,1705195832,e53c46a4
1494941860375102976,快普及吧,48.399,1705302157,9f3e0e26
1494950685626766336,我家楼下的炸鸡，我都要点外卖，你叫我下楼?,38.289,1705303209,7d907208
1496492121992440320,差点让我帮他洗碗了！,34.499,1705486962,ba41ed7e
1497195255760591616,刚刚接到通知，外卖员淘汰了（bushi）,47.219,1705570782,8da5cd26
1497927282872916224,不好意思限飞,6.757,1705658047,c464a5ec
1500640009198587904,你猜下雨天怎么办(doge),62.739,1705981429,e4873114
1501001353764335616,你猜下雨天怎么办(doge),59.243,1706024504,ace43e5d
1501001454419554560,你猜下雨天怎么办(doge),60.353,1706024516,ace43e5d
1501698296664577536,跑腿取外卖业务：你好,36.569,1706107587,4a868593
1502174865489643008,嫌慢的用无人机，不想出门的就请外卖小哥呗，各取所需啊,43.673,1706164398,d70ebc0c
1503362656411942656,天才,1.122,1706305994,771b95b5
1503442772206881280,就很棒,7.463,1706315544,2762e5f
1503706211726455040,妹子好像舒淇,7.971,1706346949,f080fd08
1503836239714010368,西北：啊？？？？？,52.672,1706362449,3b3405dd
1504234212004296448,不送我家门口的快递都不叫外卖,40.619,1706409891,1f47a740
1506197061979600384,？,60.099,1706643881,d25f9fac
1506612869549131520,卧槽,58.27,1706693449,b64b6874
1506708474640581120,无人机都会飞了为什么不能从我家窗户里飞进来（,35.006,1706704846,147e24ef
1506769573754757120,？？？,59.779,1706712130,648cf26b
,,0.0,1775655139.4252825,
lb.c,,0.0,1775655139.4252825,
,,0.0,1775655139.4252825,
1488336216083889664,我点外卖还要去外面拿，我还不如直接去外面吃呢！,42.659,1704514702,29b7b72e
1488366551043356928,所以说我们点个外卖还要出去拿，意义何在,42.783,1704518319,46c88d9a
1488368121080417536,这么好的纸箱，我可不回收,27.787,1704518506,ed2a1ab2
1488510514328910336,你猜我为什么点外卖（就是难得出门）,31.179,1704535480,805e6c77
1488692474946989312,这玩意儿能进店取餐？至少近三年内没办法普及,54.219,1704557172,50c090f6
1489102656403267840,毕竟人家会直线飞行嘛，你不看看外卖小哥又左拐又右拐的,41.859,1704606069,ae846fb0
1489102823923856896,大疆：这是什么东西呀喂？,50.779,1704606089,ae846fb0
